CODEN	ISSN	Serial Title	Publisher Name	
RRRIDC	0340-3386	3 R International	Vulkan-Verlag	
AAACEC	0743-4618	AAC: Augmentative and Alternative Communication	"Decker Periodicals Publishing, Inc."	
AACTAZ	0065-7158	AACE International. Transactions of the Annual Meeting	AACE Inc.	
AABUD2	0149-1423	AAPG Bulletin (American Association of Petroleum Geologists)	AAPG	
001311	0730-3564	AAS History Series	Univelt Inc	
ABBREZ	1013-3119	ABB Review	Asea Brown Boveri Ltd	
002887	0276-8291	Abbey Newsletter	Abbey Publications	
ABCCET	1051-5526	Aberdeen's Concrete Construction	Aberdeen Group	
ACDIFQ	1051-4821	Aberdeen's Concrete Repair Digest	Aberdeen Group	
AMMCEK	0898-6088	Aberdeen's Magazine of Masonry Construction	Aberdeen Group	
ABRAEU		Abrasives	Abrasive Engineering Soc	
ABUTAU	0126-6209	ABU Technical Review	ABU	
AAPVB5	0001-4575	Accident Analysis and Prevention	Elsevier Science Ltd	
AMAJEF	0889-325X	ACI Materials Journal	American Concrete Inst	
ASTJEG	0889-3241	ACI Structural Journal	American Concrete Inst	
ACSUEY	0360-0300	ACM Computing Surveys	ACM	
002517		"ACM SIGDOC Annual International Conference on Computer Documentation,   Proceedings"	ACM	
003108		ACM SIGPLAN/SIGSOFT Workshop on Program Analysis for Software Tools and   Engineering	ACM	
002704		"ACM Symposium on Virtual Reality Software and Technology, Proceedings, VRST"	ACM	
ACSYEC	0734-2071	ACM Transactions on Computer Systems	ACM	
ATDSD3	0362-5915	ACM Transactions on Database Systems	ACM	
ATGRDF	0730-0301	ACM Transactions on Graphics	ACM	
ATISET	1046-8188	ACM Transactions on Information Systems	ACM	
ACMSCU	0098-3500	ACM Transactions on Mathematical Software	ACM	
ATMCEZ	1049-3301	ACM Transactions on Modeling and Computer Simulation	ACM	
ATPSDT	0164-0925	ACM Transactions on Programming Languages and Systems	ACM	
ATSMER	1049-331X	ACM Transactions on Software Engineering and Methodology	ACM	
002156		ACM/SIGDA International Symposium on Field Programmable Gate Arrays - FPGA	ACM	
ACOTFC		Acotepac	Asoc Colombiana Technicos Ind Pulpa Papel Carton	
AOUSEK	1063-7710	Acoustical Physics	American Inst of Physics	
ACAUEC	0814-6039	Acoustics Australia	Australian Acoustical Society	
ACOBEP	0308-437X	Acoustics Bulletin	Inst of Acoustics	
ACLEDI	0140-1599	Acoustics Letters	Parjon Inf Serv	
AQARDW	0391-5557	Acqua Aria /Environmental Studies	Editrice Arti Poligrafiche Europee	
ACSMC8	0097-6156	ACS Symposium Series	ACS	
AAACFD	0001-7884	Acta Acustica (Stuttgart)	S. Hirzel Verlag	
AAMADV	0167-8019	Acta Applicandae Mathematicae	Kluwer Academic Publishers	
AASTCF	0094-5765	Acta Astronautica	Elsevier Science Ltd	
ACBTDD	0138-4988	Acta Biotechnologica	Akademie-Verlag Berlin	
ACHSE7	0904-213X	Acta Chemica Scandinavica	Munksgaard Int Publ. Ltd.	
ACHUDC	0231-3146	Acta Chimica Hungarica	Hungarian Academy of Sciences	
ACICDV	0253-7338	Acta Ciencia Indica. Chemistry	Pragati Prakashan	
ACVEAU	0001-5504	Acta Cientifica Venezolana	Asociacio Venezolana para el Avance de la Ciencia	
ACACEQ	0108-7673	"Acta Crystallographica, Section A: Foundations of Crystallography"	Munksgaard Int Publ. Ltd.	
ASBSDK	0108-7681	"Acta Crystallographica, Section B: Structural Science"	Munksgaard Int Publ. Ltd.	
ACSCEE	0108-2701	"Acta Crystallographica, Section C: Crystal Structure Communications"	Munksgaard Int Publ. Ltd.	
ACCYDX	0324-721X	Acta Cybernetica	Jozsef Attila Univ	
AFRFAZ	0001-5636	Acta Forestalia Fennica	Finn Soc Forest Sci	
AGGHFW	1217-8977	Acta Geodaetica et Geophysica Hungarica	Akademiai Kiado	
AGPOAP	0001-5725	Acta Geophysica Polonica	Polska Akad Nauk	
AHISA9	0065-1281	Acta Histochemica	Gustav Fischer Verlag Jena	
AINFA2	0001-5903	Acta Informatica	Springer-Verlag GmbH & Company KG	
002208	1359-6454	Acta Materialia	Elsevier Science Ltd	
AMSSFV	1000-9574	Acta Mathematica Sinica	VSP BV	
AMHCAP	0001-5970	Acta Mechanica	Springer-Verlag Wien	
AMSNEF	0567-7718	Acta Mechanica Sinica/Lixue Xuebao	Chinese Journal of Mechanics Press	
AMSIFZ	1006-7191	Acta Metallurgica Sinica (English Letters)	Chin Acad Sci	
ACTOEL	0284-186X	Acta Oncologica	Scandinavian University Press	
APAHAQ		Acta Physica Hungarica New Series Heavy Ion Physics	Akademiai Kiado	
APTLB6	0587-4246	Acta Physica Polonica A	Polish Acad of Sciences	
APOBBB	0587-4254	"Acta Physica Polonica, Series B."	Jagellonian Univ	
APHSEU	1004-423X	Acta Physica Sinica (overseas Edition)	Gordon & Breach Science Publ Inc	
ACPODY	0323-7648	Acta Polymerica	Wiley-VCH Verlag GmbH	
APOSEV	1237-2404	Acta Polytechnica Scandinavica Mathematics and Computing in Engineering   Series	Finnish Acad of Technology	
APSMFY	1238-9803	Acta Polytechnica Scandinavica Mathematics Computing and Management in   Engineering	Finnish Acad of Technology	
APSSDG	0355-2721	"Acta Polytechnica Scandinavica, Applied Physics Series"	Finnish Acad of Technology	
APSSEH	0781-2698	"Acta Polytechnica Scandinavica, Chemical Technology and Metallurgy Series"	Finnish Acad of Technology	
APSCF4	1239-0518	"Acta Polytechnica Scandinavica, Chemical Technology Series"	Finnish Acad of Technology	
APCBAI	0355-2705	"Acta Polytechnica Scandinavica, Civil Engineering and Building Construction   Series"	Finnish Acad of Technology	
APSEA5	0001-6845	"Acta Polytechnica Scandinavica, Electrical Engineering Series"	Finnish Acad of Technology	
APMNA2	0001-687X	"Acta Polytechnica Scandinavica, Mechanical Engineering Series"	Finnish Acad of Technology	
ACRAE3	0284-1851	Acta Radiologica	Munksgaard Int Publ. Ltd.	
ARASA5	0365-5954	Acta Radiologica Supplementum	Munksgaard Int Publ. Ltd.	
ASSNEN	1000-9116	Acta Seismologica Sinica English Edition	Acta Seismol Sin	
ATCVA4	0001-7043	Acta Technica CSAV (Ceskoslovensk Akademie Ved)	Acad Sci Czech Rep	
APECEZ	0882-7516	Active and Passive Electronic Components	Gordon & Breach Science Publ Inc	
ACCHDG	0151-9093	Actualite Chimique	Societe Francaise de Chimie	
AEREDS	0360-1293	Acupuncture & Electro-Therapeutics Research	Cognizant Commun Corp	
AUJOET	0268-652X	Ada User Journal	Ada Lang UK Ltd	
ADHAES	0943-1454	Adhaesion Kleben & Dichten	Friedrich Vieweg & Sohn Verlagsgesellschaft mbH	
ADHAAO	0001-821X	Adhesives Age	Premedia Intertec	
ADSOFO	0929-5607	Adsorption	Kluwer Academic Publishers	
ASTEEZ	0263-6174	Adsorption Science and Technology	"Multi-Science Publishing Co, Ltd"	
ACATE9	1065-7355	Advanced Cement Based Materials	Elsevier Science Inc	
ACOAEM	0924-3046	Advanced Composite Materials: The Official Journal of the Japan Society of   Composite Materials	VSP BV	
ADVCE2	0895-0407	Advanced Composites	"Advanstar Communications, Inc"	
002438		Advanced Computational Methods in Heat Transfer - International Conference	Computational Mechanics Inc	
ADDREP	0169-409X	Advanced Drug Delivery Reviews	Elsevier Science Publishers B.V.	
	1438-1656	Advanced Engineering Materials	Wiley Interscience	
ADIMEZ	1042-0711	Advanced Imaging	Cygnus Publ Inc	
ADVMEW	0935-9648	Advanced Materials	Wiley-VCH Verlag Berlin GmbH	
AMAPEX	0882-7958	Advanced Materials & Processes	ASM International	
AMELE7	1057-9257	Advanced Materials for Optics and Electronics	John Wiley & Sons Ltd	
ADPAFZ	1065-0555	Advanced Packaging	IHS Publ Group	
APMAF2	0929-1881	Advanced Performance Materials	Kluwer Academic Publishers	
APTEEE	0921-8831	Advanced Powder Technology	VSP BV	
ADROEI	0169-1864	Advanced Robotics	VSP BV	
002695		"Advanced Workshop on Frontiers in Electronics, Proceedings, WOFE"	IEEE	
AAMCAY	0065-2156	Advances in Applied Mechanics	Acad Press Inc	
ADAMAP	0065-2164	Advances in Applied Microbiology	Academic Press Inc	
AAPBBD	0001-8678	Advances in Applied Probability	Applied Probability Trust	
AASEF7		Advances in Architecture International Series	Computational Mechanics Publ	
ABEBDZ	0724-6145	Advances in Biochemical Engineering - Biotechnology	Springer-Verlag GmbH & Company KG	
002699		Advances in Boundary Elements Series	Computational Mechanics Publ	
ACEREN	0951-7197	Advances in Cement Research	Thomas Telford Services Ltd	
ADCYA3	0065-2415	Advances in Chromatography	Marcel Dekker Inc	
ACISB9	0001-8686	Advances in Colloid and Interface Science	Elsevier Science Publishers B.V.	
ACYEAC	0065-2482	Advances in Cryogenic Engineering	Plenum Publ Corp	
ADEEFQ		Advances in Earthquake Engineering	Computational Mechanics Publ	
AESCFT		Advances in Ecological Sciences	Computational Mechanics Publ	
AESODT	0965-9978	Advances in Engineering Software	Elsevier Science Ltd	
AESTC9	0065-2563	Advances in Environmental Science and Technology	John Wiley & Sons Ltd	
AFMEFC	1353-808X	Advances in Fluid Mechanics	Computational Mechanics Inc	
001872	0921-2647	Advances in Human Factors - Ergonomics	Elsevier Science B.V.	
002230	1076-5670	Advances in Imaging and Electron Physics	Acad Press Inc	
000412		Advances in Kinetic Theory and Continuum Mechanics - Proceedings	Springer-Verlag New York	
AACDEP	1240-4535	Advances in Modeling & Analysis C	AMSE Press	
AABPEM	1240-4543	Advances in Modeling and Analysis B	AMSE Press	
AAATET	1258-5769	Advances in Modelling and Analysis A	AMSE Press	
001724	1049-5258	Advances in Neural Information Processings Systems	"Morgan-Kaufmann Publ, Inc."	
ADPHAH	0001-8732	Advances in Physics	Taylor & Francis Ltd	
APSIDK	0065-3195	Advances in Polymer Science	Springer-Verlag GmbH & Company KG	
APTYD5	0730-6679	Advances in Polymer Technology	John Wiley & Sons Inc	
APMEED	1042-8860	Advances in Powder Metallurgy and Particulate Materials	Metal Powder Industries Federation	
ARDBA3	0065-3292	Advances in Radiation Biology	Acad Press Inc	
000012		Advances in Reliability Technology Symposium	Elsevier Applied Science Publ Ltd	
ASSCEO	0176-9340	Advances in Soil Sciences	Springer-Verlag GmbH & Company KG	
ASRSDW	0273-1177	Advances in Space Research	Elsevier Science Ltd	
ADASA9	1081-6003	Advances in the Astronautical Sciences	Univelt Inc	
