ISSN	CODEN
1671-8267	AJXJA3
1672-9145	ABBSC2
0065-1265	SRTUAW
1000-9574	AMSSFV
0567-7718	AMSNEF
0894-9166	ASSIE8
1006-7191	AMSIFZ
0894-0525	AMTSEZ
0253-505X	AOSIEF
0379-7481	AOTADS
1608-8115	CHEKAL
1671-4083	APSCG5
1000-9116	ASSNEN
1019-5858	AZTAE4
1408-1415	ABSCG9
1000-467X	AIZHE4
1000-2162	ADXKE2
1672-2477	AGKXAR
1671-7872	AGDXAQ
1007-5240	AHJDA3
1672-1098	ALDXAR
1000-2197	ANDXB8
1001-2443	ASDXA8
1000-1492	AYDXAG
1009-6094	AYHXA2
1000-1654	AGXBEX
1672-4410	AKDXAK
1005-1031	AMCEEA
0253-4827	AMMEEQ
1008-682X	ASJAF8
1015-9584	AJSUEF
1011-4041	AMABEP
0254-3707	PEIPDB
1009-9921	BLAIBD
1001-5868	BAGUE5
0253-4177	PTTPDZ
1007-1261	BWZKFL
1001-8352	BAQIEJ
1008-214X	BHBZFB
1001-1455	BAYCE7
1000-1506	BJDXES
1009-4822	BDXZAK
1671-167X	BDXYAH
0479-8023	PCTHAP
1001-0564	BFXUEN
——	BJFZA6
1671-1513	BGDXA3
0254-0037	BGDXD6
1001-5965	BHHDE8
1007-2640	BHDKFA
1671-4628	BHDXAA
1001-053X	BKDXEZ
1001-0645	BLXUEV
1000-1522	BLDXE8
1002-3186	BNOXE9
1002-3208	BSYGFA
0476-0301	BSDKDH
1000-1530	BYDXEV
1007-5321	BYXBEV
1006-2157	BZDXF5
1000-2200	BYIXEM
1001-3660	BIJIF7
1000-0240	DONEB
1000-8721	BIXUEA
1000-1093	BIXUD9
1001-9510	BYXUEK
0895-3988	BESCE5
1673-0569	BDXZBL
1000-2871	BYTAE8
1003-0999	BFUCEM
1000-4556	BOZAE2
0006-8063	BBASA6
1026-2636	BHKMFH
0304-9825	BIMSDG
1001-1560	TSTEF7
1001-4381	CAGOEW
1003-1545	CKYIF5
1004-793X	CKYGAS
——	CKYGAS
1005-0299	CKGOEY
1009-6264	CRXAAK
1005-3093	CYXUEV
1671-6620	CYYXA7
0257-4799	CAKEEM
0494-0911	THTPAQ
1001-1595	CEXUER
1004-1338	CEJIFO
1001-0602	CREEB6
——	CDXDAX
1007-4112	XIGXE6
——	CGDXAE
0253-6072	CKDXFD
1009-3818	CDSYB4
1001-5485	CKYUE6
1004-8227	CLZHFE
1006-7140	CDXKFP
1000-9779	CJXUES
1006-7140	CDXKFP
1672-9331	CLDXBG
1000-2499	CTXUEU
1000-369X	CHKEF4
1005-9040	CRCUED
0256-2197	CLIXFB
1671-9727	CLDXAF
1001-5418	CQXUE9
1002-1264	CCSHEH
1000-0550	CHXUEE
1672?6421	CFHOAY
1672-6421	CFHOAY
0890-5487	COCEEC
1672-2515	CPHACU
1008-6234	CPPTFS
1004-5341	CWELEV
1004-4493	CREFEO
0252-9599	CHAMEB
0275-1062	CASGEY
1001-8417	CCLEE7
0217-9776	CJACDS
1000-9361	CJAEEZ
1479-2362	CJABBN
1009-9721	CJAAAJ
1000-9604	CJCRFH
1004-9541	CJCEEB
1001-604X	CJOCEV
1672-7118	CJCOB4
1462-6446	CJDRFM
1443-9611	CJDDA9
1022-4653	CHJEEW 
1017-7981	CKUCEY
1000-9426	CJGEEV
1672-0415	CJIMBS
1004-2822	CJOEE3
1000-9345	CJMEER 
1680-0893	CJMSCX
0254-4059	CJOLEO
0577-9073	CJOPAW
0304-4920	CJPHDG
0256-7679	CJPSEG
1004-7646	CJRPEH
1008-1275	CJTRFY
0366-6999	CMJODS
1001-9294	CMSJEP
1671-7694	COLHBT
1016-1015	CPHJEP
1009-1963	CHPHF4
0256-307X	CPLEEU
1001-6538	CSBUEF
1610-1979	CJCOG9
1000-582X	CPAOD4
——	CDXZF2
1006-7329	CJGXEK
1001-716X	CJXXEU
1001-8905	CSXKER
1001-8905	CSXKER
0253-3626	CYDXE8
1004-1699	CJXUFT
1005-8370	CGHOB8
